model_id,model_name,original_model_id,fold,test_subject,count_mae,count_mae_pos,count_mae_neg,mean_pred_count_on_neg,mean_gt_count_on_pos,num_test_samples,source_path
S1,DSCNN,S1,7,55502,0.7279049108971606,0.6604152308570014,0.7500730748594242,0.7500730748594242,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_07_test_55502/test_results.json
S1,DSCNN,S1,8,74768,1.5646233783342451,6.110085660761053,0.20407686174410034,0.20407686174410034,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_08_test_74768/test_results.json
S1,DSCNN,S1,9,76918,1.035475558209642,3.604208835335665,0.3895368142086163,0.3895368142086163,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_09_test_76918/test_results.json
S1,DSCNN,S1,10,84479,0.47689867336699304,1.3854781822724775,0.19927715965443188,0.19927715965443188,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_10_test_84479/test_results.json
S1,DSCNN,S1,11,86463,1.3109331175462524,3.214734360575676,0.7136621551186431,0.7136621551186431,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_11_test_86463/test_results.json
S1,DSCNN,S1,12,87369,0.5715874817853417,0.6319996768778021,0.5524641961502514,0.5524641961502514,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_12_test_87369/test_results.json
S1,DSCNN,S1,13,87447,0.5336446293985656,0.36602083672868446,0.5883551724255085,0.5883551724255085,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_13_test_87447/test_results.json
S1,DSCNN,S1,14,97706,2.4150169585561994,0.6534191286841105,2.9068916865757535,2.9068916865757535,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_14_test_97706/test_results.json
S2,ResCNN,S2,0,14287,0.40538215359976126,0.7710248758626539,0.3139714716478836,0.3139714716478836,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_00_test_14287/test_results.json
S2,ResCNN,S2,1,14342,1.4521603144132174,1.8826368393436554,1.3173646493391558,1.3173646493391558,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_01_test_14342/test_results.json
S2,ResCNN,S2,2,14547,0.7164593383447447,2.0736464858055115,0.33610115081641323,0.33610115081641323,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_02_test_14547/test_results.json
S2,ResCNN,S2,3,20794,0.595924390416567,2.1942571367536274,0.09644540448350979,0.09644540448350979,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_03_test_20794/test_results.json
S2,ResCNN,S2,4,38936,1.039863159160803,3.112765535395196,0.4113056744298627,0.4113056744298627,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_04_test_38936/test_results.json
S2,ResCNN,S2,5,47779,1.4701322017435254,1.8016359351930165,1.368503351281159,1.368503351281159,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_05_test_47779/test_results.json
S2,ResCNN,S2,6,49661,2.482065272331238,0.40758076439733093,3.1017164998240285,3.1017164998240285,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_06_test_49661/test_results.json
S2,ResCNN,S2,7,55502,0.5557931027120843,1.4092374165852866,0.2754646694194531,0.2754646694194531,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_07_test_55502/test_results.json
S2,ResCNN,S2,8,74768,1.2538977767784558,4.98091937195171,0.1383266145134579,0.1383266145134579,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S2/fold_08_test_74768/test_results.json
